Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Friday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,__MISSING__,__MISSING__,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,18-30,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,1.0,2.0,3.0,16.0,2.0,0.0
Wednesday,__MISSING__,Female,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Self-employed,__MISSING__,Not a Pedestrian,Changing lane to the left,afternoon,1.0,1.0,3.0,17.0,2.0,0.0
Wednesday,Over 51,__MISSING__,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,Reversing,Passenger,Female,Under 18,Driver,Normal,Not a Pedestrian,No distancing,afternoon,4.0,2.0,3.0,13.0,2.0,0.0
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,__MISSING__,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,Over 51,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,13.0,1.0,0.0
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,1.0,,19.0,4.0,0.0
Thursday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,__MISSING__,__MISSING__,__MISSING__,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,3.0,16.0,3.0,0.0
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,No priority to pedestrian,morning,2.0,1.0,2.0,7.0,2.0,0.0
Friday,31-50,Female,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,7,__MISSING__,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,1.0,2.0,,12.0,6.0,0.0
Wednesday,31-50,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overturning,afternoon,2.0,2.0,,15.0,5.0,0.0
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,morning,3.0,1.0,,6.0,6.0,0.0
Friday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Passenger,Female,18-30,Other,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,2.0,3.0,15.0,1.0,0.0
Thursday,18-30,Male,High school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Other,afternoon,2.0,1.0,3.0,12.0,0.0,0.0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,12.0,2.0,0.0
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,3.0,1.0,3.0,13.0,2.0,0.0
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,__MISSING__,No defect,Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Driving under the influence of drugs,evening,1.0,1.0,,23.0,5.0,0.0
Monday,18-30,Male,Elementary school,Other,Above 10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving at high speed,morning,2.0,1.0,,7.0,4.0,0.0
Wednesday,31-50,Male,Junior high school,Other,No Licence,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,,16.0,6.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,__MISSING__,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,__MISSING__,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Turnover,morning,2.0,1.0,,10.0,6.0,0.0
Thursday,18-30,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Other,Driver or rider,Male,18-30,Employee,Normal,Not a Pedestrian,No distancing,evening,2.0,1.0,3.0,20.0,0.0,0.0
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,__MISSING__,__MISSING__,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,No distancing,afternoon,3.0,2.0,,13.0,8.0,0.0
Saturday,18-30,Male,Elementary school,Employee,__MISSING__,Bicycle,Owner,__MISSING__,No defect,Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,31-50,Driver,__MISSING__,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,14.0,3.0,0.0
Saturday,Over 51,Male,High school,Employee,1-2yr,Motorcycle,Owner,1-2yr,No defect,Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,Under 18,Employee,Normal,Not a Pedestrian,No distancing,morning,2.0,2.0,3.0,10.0,0.0,0.0
Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Pedestrian,Male,Under 18,Driver,Normal,Unknown or other,No distancing,afternoon,2.0,1.0,3.0,13.0,0.0,0.0
Sunday,31-50,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,__MISSING__,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,evening,2.0,3.0,3.0,21.0,5.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Driver or rider,Female,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No priority to pedestrian,evening,1.0,1.0,3.0,18.0,3.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,__MISSING__,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Pedestrian,Male,18-30,Self-employed,Normal,Unknown or other,Changing lane to the right,afternoon,3.0,2.0,3.0,16.0,2.0,0.0
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,__MISSING__,__MISSING__,Other,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,Driving carelessly,evening,2.0,2.0,,21.0,7.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,2-5yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,__MISSING__,Not a Pedestrian,Other,afternoon,6.0,1.0,,16.0,6.0,0.0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,18.0,4.0,0.0
Sunday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Governmental,__MISSING__,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving to the left,night,2.0,1.0,3.0,0.0,1.0,0.0
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,16.0,1.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,night,2.0,1.0,,0.0,4.0,0.0
Tuesday,Over 51,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,__MISSING__,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,__MISSING__,evening,2.0,1.0,2.0,18.0,2.0,0.0
Wednesday,31-50,Male,__MISSING__,Employee,5-10yr,Other,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,2.0,3.0,19.0,2.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,3.0,16.0,1.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,1.0,,19.0,5.0,0.0
Sunday,18-30,Male,Above high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,__MISSING__,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,night,1.0,2.0,,3.0,5.0,0.0
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Passenger,Male,Under 18,Student,Normal,Not a Pedestrian,No priority to vehicle,night,2.0,1.0,3.0,3.0,0.0,0.0
Wednesday,31-50,Male,High school,Owner,2-5yr,Automobile,Owner,__MISSING__,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,morning,2.0,2.0,3.0,9.0,3.0,0.0
Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,1-2yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Passenger,Female,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,20.0,2.0,0.0
Monday,__MISSING__,Female,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,1-2yr,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,3.0,2.0,2.0,14.0,3.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,__MISSING__,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,3.0,9.0,1.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,__MISSING__,Owner,__MISSING__,__MISSING__,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,evening,3.0,2.0,2.0,22.0,3.0,0.0
Friday,18-30,Male,Junior high school,Employee,No Licence,Other,Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,afternoon,2.0,2.0,,13.0,8.0,0.0
Tuesday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,__MISSING__,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Driving at high speed,afternoon,3.0,3.0,,16.0,5.0,0.0
Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Passenger,Female,31-50,Self-employed,Normal,Not a Pedestrian,Driving carelessly,afternoon,3.0,2.0,3.0,12.0,0.0,0.0
Monday,__MISSING__,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Moving Backward,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,morning,2.0,2.0,,7.0,8.0,0.0
Friday,Over 51,Male,High school,Employee,Above 10yr,Public (12 seats),Owner,1-2yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Driving carelessly,morning,1.0,1.0,,8.0,4.0,0.0
Thursday,31-50,Male,__MISSING__,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Reversing,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,,20.0,6.0,0.0
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,5-10yrs,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Pedestrian,Female,Over 51,__MISSING__,__MISSING__,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,afternoon,1.0,1.0,2.0,17.0,3.0,0.0
Wednesday,18-30,Male,High school,Employee,Above 10yr,__MISSING__,Owner,5-10yrs,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,__MISSING__,Collision with pedestrians,Other,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,Overtaking,morning,2.0,1.0,3.0,7.0,2.0,0.0
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,morning,2.0,3.0,,7.0,7.0,0.0
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Employee,__MISSING__,Not a Pedestrian,Changing lane to the right,afternoon,2.0,4.0,3.0,14.0,2.0,1.0
Friday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Pedestrian,Female,Over 51,__MISSING__,__MISSING__,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,morning,2.0,1.0,3.0,8.0,3.0,0.0
Friday,31-50,Male,High school,Employee,2-5yr,Stationwagen,Governmental,__MISSING__,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,evening,4.0,1.0,,21.0,7.0,0.0
Tuesday,__MISSING__,Female,Junior high school,Owner,5-10yr,Other,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,__MISSING__,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,Under 18,__MISSING__,__MISSING__,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,afternoon,2.0,1.0,3.0,13.0,5.0,0.0
Saturday,__MISSING__,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,__MISSING__,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,3.0,,18.0,6.0,0.0
Monday,18-30,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,2.0,16.0,2.0,0.0
Tuesday,31-50,Male,High school,Owner,1-2yr,Other,Owner,__MISSING__,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,3.0,7.0,2.0,0.0
